iter	RMSE
385	9627.034455
386	9621.518535
387	9616.334607
388	9608.871302
389	9602.331135
390	9597.478267
391	9591.628535
392	9586.1689
393	9579.565623
394	9574.19583
395	9570.844814
396	9561.953986
397	9557.596397
398	9548.729755
399	9545.253158
400	9536.530624
401	9532.849291
402	9528.288618
403	9519.53644
404	9515.520338
405	9509.449612
406	9506.390566
407	9500.766783
408	9497.816514
409	9493.430629
410	9490.339003
411	9483.627486
412	9476.908831
413	9470.092438
414	9456.627528
415	9452.900054
416	9447.360475
417	9442.641145
418	9439.207035
419	9436.96812
420	9433.309539
421	9426.266654
422	9421.090333
423	9418.491879
424	9414.10516
425	9410.55757
426	9404.13549
427	9400.471614
428	9396.307994
429	9391.326383
430	9384.523519
431	9379.46932
432	9372.444075
433	9367.199763
434	9352.609277
435	9348.544971
436	9344.532248
437	9340.183064
438	9333.859512
439	9329.398665
440	9324.598687
441	9316.462106
442	9309.392406
443	9302.841688
444	9298.143063
445	9286.614971
446	9273.379143
447	9269.619096
448	9265.159329
449	9261.332455
450	9256.271237
451	9253.224625
452	9246.378727
453	9237.208535
454	9235.025553
455	9231.932437
456	9225.019578
457	9219.983192
458	9214.933215
459	9207.787485
460	9204.155474
461	9200.876558
462	9197.545913
463	9191.599751
464	9185.369666
465	9179.307247
466	9174.442958
467	9170.500887
468	9167.347506
469	9162.646378
470	9158.107936
471	9153.580804
472	9148.709359
473	9145.084698
474	9140.245186
475	9136.941616
476	9132.947457
477	9130.21033
478	9126.849131
479	9123.246582
480	9116.304104
481	9114.230787
482	9111.194399
483	9098.629511
484	9095.086549
485	9091.321532
486	9079.260592
487	9073.617398
488	9068.030895
489	9065.137687
490	9060.032542
491	9054.910569
492	9052.065512
493	9044.827444
494	9040.748488
495	9036.746615
496	9032.568401
497	9028.801887
498	9023.87076
499	9020.784342
500	9017.692526
501	9011.109877
502	9009.403378
503	9002.398899
504	8992.304846
505	8988.990879
506	8984.934614
507	8981.192905
508	8977.569803
509	8972.047474
510	8965.914542
511	8958.418081
512	8955.004945
513	8951.883094
514	8948.837115
515	8945.73132
516	8941.010088
517	8935.87071
518	8932.789121
519	8928.129161
520	8924.865999
521	8920.578625
522	8915.514868
523	8912.306022
524	8905.728746
525	8901.006355
526	8896.377421
527	8892.585903
528	8888.261488
529	8886.34578
530	8880.857182
531	8876.647855
532	8872.822057
533	8867.824696
534	8863.824564
535	8859.469738
536	8854.106461
537	8849.683782
538	8843.54196
539	8839.569007
540	8836.634556
541	8833.86156
542	8828.40669
543	8824.264622
544	8821.004699
545	8818.327211
546	8815.620768
547	8811.822137
548	8801.096861
549	8796.292307
550	8790.882909
551	8789.311035
552	8785.391057
553	8781.351033
554	8780.224222
555	8775.917038
556	8771.889351
557	8764.757664
558	8761.362997
559	8758.200019
560	8755.297116
561	8752.626136
562	8741.525305
563	8738.067619
564	8735.567357
565	8731.340027
566	8727.092661
567	8723.429214
568	8720.07282
569	8718.514969
570	8714.9792
571	8710.985777
572	8708.010086
573	8704.366518
574	8701.72057
575	8697.54529
576	8686.9894
577	8683.294622
578	8680.686038
579	8676.389197
580	8674.85584
581	8669.762995
582	8666.560125
583	8661.021791
584	8658.180649
585	8655.020531
586	8650.247089
587	8648.155933
588	8643.114367
589	8639.138393
590	8635.425743
591	8631.822745
592	8623.694912
593	8621.587062
594	8617.578683
595	8615.66438
596	8612.419879
597	8608.298531
598	8603.624653
599	8602.178819
600	8599.87245
601	8594.873847
602	8592.346685
603	8589.633533
604	8585.407098
605	8577.241937
606	8574.150872
607	8571.471429
608	8568.69405
609	8565.040946
610	8556.849128
611	8552.322972
612	8549.875831
613	8546.69137
614	8542.458556
615	8536.042207
616	8532.018202
617	8528.382576
618	8524.209617
619	8520.50776
620	8517.129661
621	8515.099322
622	8512.612029
623	8507.802912
624	8505.987403
625	8501.917973
626	8498.952355
627	8496.677189
628	8494.302571
629	8490.640123
630	8487.586523
631	8483.10256
632	8479.709814
633	8477.023036
634	8472.841782
635	8470.188955
636	8466.176828
637	8464.97818
638	8460.559634
639	8457.831957
640	8454.710864
641	8452.76557
642	8451.582069
643	8447.863142
644	8445.788017
645	8442.659854
646	8441.39311
647	8437.436279
648	8432.956597
649	8424.490949
650	8419.448653
651	8416.644834
652	8413.994899
653	8410.724779
654	8407.162222
655	8403.778095
656	8399.297386
657	8395.601933
658	8392.90393
659	8389.658058
660	8387.494772
661	8384.027392
662	8380.797442
663	8375.189822
664	8373.516155
665	8370.960554
666	8368.391576
667	8364.795654
668	8361.185762
669	8357.848182
670	8353.810611
671	8351.64899
672	8346.157575
673	8341.181571
674	8337.657962
675	8335.163104
676	8331.875895
677	8325.919447
678	8322.629305
679	8319.019907
680	8316.193905
681	8313.219216
682	8310.186898
683	8308.204398
684	8304.848898
685	8302.829342
686	8299.604382
687	8295.8936
688	8291.832776
689	8289.159577
690	8284.666549
691	8282.09232
692	8279.898257
693	8278.06362
694	8275.086994
695	8273.50728
696	8270.980049
697	8267.087554
698	8259.998397
699	8252.520708
