title,avg_price_by_title,avg_mileage_by_title,avg_months_on_road_by_title,std_error_pct_x,std_error_pct_y
אאודי A1,65759.54285714286,121046.71428571429,101.21428571428571,7.693409807728722,7.693409807728722
אאודי A3,105342.02142857143,110819.39285714286,91.53571428571429,10.168353785821687,10.168353785821687
אאודי Q3,147006.35,85221.67,70.01,7.674162745561065,7.674162745561065
אאודי Q5,119288.76691729324,122452.99248120301,98.97744360902256,8.527616289542323,8.527616289542323
אאודי Q7,222025.25423728814,134550.93220338982,90.52542372881356,11.284314033803593,11.284314033803593
אופל אסטרה,15871.054347826086,160463.55434782608,127.79347826086956,29.230283011976056,29.230283011976056
אופל קורסה,41969.26666666667,115479.71111111112,89.54444444444445,22.281451527658486,22.281451527658486
איסוזו די-מקס,92965.52066115703,235981.4958677686,119.23140495867769,13.179394882409369,13.179394882409369
אלפא רומיאו ג'ולייטה,39702.192307692305,141835.92307692306,115.3076923076923,17.171628459017462,17.171628459017462
אם ג'י EHS PHEV,115672.04347826086,68630.00621118012,37.515527950310556,4.074808933722596,4.074808933722596
אם ג'י ZS,77444.66666666667,78481.05555555556,48.77777777777778,8.938446406857137,8.938446406857137
ב מ וו X1,120666.2027027027,84602.8918918919,74.25675675675676,7.005812151421095,7.005812151421095
ב מ וו X5,214754.66666666666,129482.71428571429,101.77777777777777,9.642816448935925,9.642816448935925
ב מ וו סדרה 1,79233.43181818182,104756.125,94.19318181818181,11.890389173179619,11.890389173179619
ב מ וו סדרה 3,119835.6125,116518.4375,100.5875,10.484127634776401,10.484127634776401
ב מ וו סדרה 5,201081.51315789475,113168.55263157895,92.5,11.300787021092246,11.300787021092246
בי.ווי.די אטו 3,130730.87005649718,43309.32203389831,22.502824858757062,3.84524493922558,3.84524493922558
ג'יפ גרנד צ'ירוקי,124512.56617647059,144757.3088235294,110.61029411764706,13.4575359141437,13.4575359141437
ג'יפ רנגלר,231567.1935483871,73939.20430107527,63.01075268817204,8.517699865980115,8.517699865980115
ג׳ילי Geometry C,118448.2828685259,44983.8047808765,26.04382470119522,4.872348207236439,4.872348207236439
דאצ'יה דאסטר,57961.29807692308,135988.32692307694,65.16346153846153,8.916294664018608,8.916294664018608
דייהטסו סיריון,9531.805194805194,197813.41558441558,199.55844155844156,14.881373439297333,14.881373439297333
הונדה סיוויק,24492.723247232472,200009.71217712178,173.7749077490775,16.678729040564118,16.678729040564118
וולוו XC60,115859.18518518518,143961.4814814815,95.68518518518519,19.870615801320838,19.870615801320838
טויוטה C-HR,113178.34554973822,86253.79581151833,58.72251308900523,4.603563984408048,4.603563984408048
טויוטה RAV4,133716.3606557377,120129.73224043715,83.00546448087432,7.947917568010842,7.947917568010842
טויוטה אוריס,39372.194444444445,209122.53703703705,126.22222222222223,9.420349510318134,9.420349510318134
טויוטה היילקס,152780.95833333334,239565.15277777778,116.61111111111111,8.471985130540174,8.471985130540174
טויוטה יאריס,46523.19662921348,153922.54494382022,140.87640449438203,11.924593510805012,11.924593510805012
טויוטה יאריס קרוס,140699.4642857143,33532.41071428572,15.357142857142858,4.912752370641504,4.912752370641504
טויוטה לנד קרוזר,163484.28640776698,251567.55339805825,162.6893203883495,10.303930488759146,10.303930488759146
טויוטה פריוס,37464.46315789474,254691.71578947367,150.6315789473684,7.507452386820075,7.507452386820075
טויוטה קאמרי,70796.63953488372,181107.23255813954,116.27906976744185,14.81704679675232,14.81704679675232
טויוטה קורולה,73769.43343343343,133149.1751751752,90.85485485485485,7.617080900562201,7.617080900562201
טסלה מודל 3,166520.61494252874,63726.61494252874,33.0,4.614339262130002,4.614339262130002
טסלה מודל Y,215375.92,36974.8,18.493333333333332,4.352465700879548,4.352465700879548
יונדאי I35,31350.40740740741,186566.6851851852,136.16666666666666,9.107370738217769,9.107370738217769
יונדאי i10,46100.5617433414,99070.09685230024,85.59322033898304,7.853540069137657,7.853540069137657
יונדאי i20,59690.482954545456,105906.69602272728,82.30681818181819,6.880755533730562,6.880755533730562
יונדאי i30,20107.321888412018,191624.4077253219,156.19742489270385,11.844763546562115,11.844763546562115
יונדאי ix35,37356.640625,175225.734375,148.96875,9.03947122391385,9.03947122391385
